id;basepallet_no
1;FSI-SC1-001
2;FSI-SC1-002
3;FSI-SC1-003
4;FSI-SC1-004
5;FSI-SC1-005
6;FSI-SC1-006
7;FSI-SC1-007
8;FSI-SC1-008
9;FSI-SC1-009
10;FSI-SC1-010
11;FSI-SC1-011
12;FSI-SC1-012
13;FSI-SC1-013
14;FSI-SC1-014
15;FSI-SC1-015
16;FSI-SC1-016
17;FSI-SC1-017
18;FSI-SC1-162
19;FSI-SC1-019
20;FSI-SC1-020
21;FSI-SC1-021
22;FSI-SC1-022
23;FSI-SC1-023
24;FSI-SC1-024
25;FSI-SC1-025
26;FSI-SC1-026
27;FSI-SC1-027
28;FSI-SC1-028
29;FSI-SC1-029
30;FSI-SC1-030
31;FSI-SC1-031
32;FSI-SC1-032
33;FSI-SC1-033
34;FSI-SC1-034
35;FSI-SC1-035
36;FSI-SC1-036
37;FSI-SC1-037
38;FSI-SC1-038
39;FSI-SC1-039
40;FSI-SC1-040
41;FSI-SC1-041
42;FSI-SC1-042
43;FSI-SC1-043
44;FSI-SC1-044
45;FSI-SC1-045
46;FSI-SC1-046
47;FSI-SC1-047
48;FSI-SC1-048
49;FSI-SC1-049
50;FSI-SC1-050
51;FSI-SC1-051
52;FSI-SC1-052
53;FSI-SC1-053
54;FSI-SC1-054
55;FSI-SC1-055
56;FSI-SC1-056
57;FSI-SC1-057
58;FSI-SC1-058
59;FSI-SC1-059
60;FSI-SC1-060
61;FSI-SC1-061
62;FSI-SC1-062
63;FSI-SC1-063
64;FSI-SC1-064
65;FSI-SC1-065
66;FSI-SC1-066
67;FSI-SC1-067
68;FSI-SC1-068
69;FSI-SC1-069
70;FSI-SC1-070
71;FSI-SC1-071
72;FSI-SC1-072
73;FSI-SC1-073
74;FSI-SC1-074
75;FSI-SC1-075
76;FSI-SC1-076
77;FSI-SC1-077
78;FSI-SC1-078
79;FSI-SC1-079
80;FSI-SC1-080
81;FSI-SC1-081
82;FSI-SC1-082
83;FSI-SC1-083
84;FSI-SC1-084
85;FSI-SC1-085
86;FSI-SC1-086
87;FSI-SC1-087
88;FSI-SC1-088
89;FSI-SC1-089
90;FSI-SC1-090
91;FSI-SC1-091
92;FSI-SC1-092
93;FSI-SC1-093
94;FSI-SC1-094
95;FSI-SC1-095
96;FSI-SC1-096
97;FSI-SC1-097
98;FSI-SC1-098
99;FSI-SC1-099
100;FSI-SC1-100
101;FSI-SC1-103
102;FSI-SC1-105
103;FSI-SC1-106
104;FSI-SC1-107
105;FSI-SC1-108
106;FSI-SC1-109
107;FSI-SC1-110
108;FSI-SC1-112
109;FSI-SC1-113
110;FSI-SC1-114
111;FSI-SC1-115
112;FSI-SC1-116
113;FSI-SC1-117
114;FSI-SC1-118
115;FSI-SC1-119
116;FSI-SC1-120
117;FSI-SC1-121
118;FSI-SC1-122
119;FSI-SC1-123
120;FSI-SC1-124
121;FSI-SC1-125
122;FSI-SC1-126
123;FSI-SC1-127
124;FSI-SC1-128
125;FSI-SC1-129
126;FSI-SC1-130
127;FSI-SC1-132
128;FSI-SC1-134
129;FSI-SC1-135
130;FSI-SC1-136
131;FSI-SC1-138
132;FSI-SC1-141
133;FSI-SC1-142
134;FSI-SC1-143
135;FSI-SC1-144
