ID;MODEL;PART_NO;SUFFIX_MASTER;PLC_CODE
1;D26A;71100-BY360-C3;SX,SV;1
2;D26A;71200-BY440-C2;SX,SV;2
3;D26A;71100-BY330-C3;SW;3
4;D26A;71200-BY580-C3;SW;4
5;D26A;71100-BY180-C3;TA,SY,SZ;5
6;D26A;71100-BY200-C3;ST,SQ;6
7;D26A;71200-BY430-C3;TA,SY,SZ,SQ,ST;7
8;D26A;71100-BY210-C3;SR,SS,SL,RV,RU;8
9;D26A;71200-BY450-C3;SR,SS,SL;9
10;D26A;71200-BY460-C3;RV,RU;11
11;D26A;71300-BZK90-C4;SW,SX,SV;1
12;D26A;71400-BZJ30-C3;SW,SX,SV;2
13;D26A;71300-BZK60-C4;TA,SY,SZ;5
14;D26A;71300-BZL20-C3;SQ,ST;6
15;D26A;71400-BZJ00-C3;TA,SY,SZ,ST,SQ;7
16;D26A;71300-BZL10-C4;SR,SS,SL;8
17;D26A;71400-BZJ50-C4;SR,SS,SL;9
18;D26A;71300-BZL60-C4;RV,RU;10
19;D26A;71400-BZJ80-C5;RV,RU;11
20;D26A;79200-BZD10-C2;SW,SX,SV;1
21;D26A;79210-BZ240-C2;SW,SX,SV;2
22;D26A;79200-BZD10-C2;SW,SX,SV;3
23;D26A;79210-BZ240-C2;SW,SX,SV;4
24;D26A;79200-BZC90-C2;SQ,ST,TA,SY,SZ;5
25;D26A;79210-BZ220-C2;SQ,ST,TA,SY,SZ;7
26;D26A;79200-BZD30-C2;SR,SS,SL;8
27;D26A;79200-BZD00-C3;RV,RU;10
28;D26A;79210-BZ230-C2;RV,RU;11
29;D12L;71100-BZW70-B0;5F;12
30;D12L;71200-BZY80-B0;5F;13
31;D12L;71100-BZV60-B0;P4,5Z;14
32;D12L;71200-BZX50-E0;P4,5Z;15
33;D12L;71100-BZV60-E0;V6,W4;16
34;D12L;71200-BZX50-E0;V6,W4;17
35;D12L;71100-BZV60-E0;W7,W8,X2;18
36;D12L;71200-BZX60-E0;W7,W8,X2;19
37;D12L;71100-BZW70-B0;M4,M6,K9;20
38;D12L;71200-BZY80-B0;M4,M6,K9;21
39;D12L;71100-BZW70-B0;M8;22
40;D12L;71200-BZY80-B0;M8;23
41;D12L;71100-BZV60-B0;V4,P7;24
42;D12L;71200-BZZ00-B0;V4,P7;25
43;D12L;71100-BZV70-E0;W6,W9,2Y,2Z;26
44;D12L;71200-BZX70-E0;W6,W9,2Y,2Z;27
45;D12L;71100-BZV70-E0;P3,PX,V5,V9,W2,W3,2K;28
46;D12L;71200-BZX80-E0;P3,PX,V5,V9,W2,W3,2K;29
