id;child_part_no;child_part_name;problem
1;A011-87410;FRAME SEAT  RH;part tidak terpasang
2;A011-87410;FRAME SEAT  RH;noise
3;A011-87410;FRAME SEAT  RH;welding over
4;A011-87410;FRAME SEAT  RH;welding t/a
5;A011-87410;FRAME SEAT  RH;pecok
6;A011-87410;FRAME SEAT  RH;karat
7;A011-87410;FRAME SEAT  RH;reclening loss
8;A011-87410;FRAME SEAT  RH;folding lemah
9;A011-87410;FRAME SEAT  RH;gata-gata
10;A011-87410;FRAME SEAT  RH;bolt miring
11;A011-87410;FRAME SEAT  RH;bolt loss
12;A011-87410;FRAME SEAT  RH;under torque
13;A011-87410;FRAME SEAT  RH;others
14;A011-87407;FRAME SEAT LH;part tidak terpasang
15;A011-87407;FRAME SEAT LH;noise
16;A011-87407;FRAME SEAT LH;welding over
17;A011-87407;FRAME SEAT LH;welding t/a
18;A011-87407;FRAME SEAT LH;pecok
19;A011-87407;FRAME SEAT LH;karat
20;A011-87407;FRAME SEAT LH;reclening loss
21;A011-87407;FRAME SEAT LH;folding lemah
22;A011-87407;FRAME SEAT LH;gata-gata
23;A011-87407;FRAME SEAT LH;bolt miring
24;A011-87407;FRAME SEAT LH;bolt loss
25;A011-87407;FRAME SEAT LH;under torque
26;A011-87407;FRAME SEAT LH;others
27;B105-97228;Track Inner RH;part tidak terpasang
28;B105-97228;Track Inner RH;kotor
29;B105-97228;Track Inner RH;burry
30;B105-97228;Track Inner RH;karat
31;B105-97228;Track Inner RH;noise
32;B105-97228;Track Inner RH;bolt loss
33;B105-97228;Track Inner RH;bolt miring
34;B105-97228;Track Inner RH;nut loss
35;B105-97228;Track Inner RH;nut miring
36;B105-97228;Track Inner RH;under torque
37;B105-97228;Track Inner RH;unbalance
38;B105-97228;Track Inner RH;sliding keras
39;B105-97228;Track Inner RH;salah spec
40;B105-97228;Track Inner RH;peeled off
41;B105-97228;Track Inner RH;others
42;B108-97240;Track Outer RH;part tidak terpasang
43;B108-97240;Track Outer RH;kotor
44;B108-97240;Track Outer RH;burry
45;B108-97240;Track Outer RH;karat
46;B108-97240;Track Outer RH;noise
47;B108-97240;Track Outer RH;bolt loss
48;B108-97240;Track Outer RH;bolt miring
49;B108-97240;Track Outer RH;nut loss
50;B108-97240;Track Outer RH;nut miring
51;B108-97240;Track Outer RH;under torque
52;B108-97240;Track Outer RH;unbalance
53;B108-97240;Track Outer RH;sliding keras
54;B108-97240;Track Outer RH;salah spec
55;B108-97240;Track Outer RH;peeled off
56;B108-97240;Track Outer RH;others
57;B108-97239;Track Inner LH;part tidak terpasang
58;B108-97239;Track Inner LH;kotor
59;B108-97239;Track Inner LH;burry
60;B108-97239;Track Inner LH;karat
61;B108-97239;Track Inner LH;noise
62;B108-97239;Track Inner LH;bolt loss
63;B108-97239;Track Inner LH;bolt miring
64;B108-97239;Track Inner LH;nut loss
65;B108-97239;Track Inner LH;nut miring
66;B108-97239;Track Inner LH;under torque
67;B108-97239;Track Inner LH;unbalance
68;B108-97239;Track Inner LH;sliding keras
69;B108-97239;Track Inner LH;salah spec
70;B108-97239;Track Inner LH;peeled off
71;B108-97239;Track Inner LH;others
72;B109-97216;Track Outer LH;part tidak terpasang
73;B109-97216;Track Outer LH;kotor
74;B109-97216;Track Outer LH;burry
75;B109-97216;Track Outer LH;karat
76;B109-97216;Track Outer LH;noise
77;B109-97216;Track Outer LH;bolt loss
78;B109-97216;Track Outer LH;bolt miring
79;B109-97216;Track Outer LH;nut loss
80;B109-97216;Track Outer LH;nut miring
81;B109-97216;Track Outer LH;under torque
82;B109-97216;Track Outer LH;unbalance
