ID;STATUS;MODEL;GRADE;VARIANT 1;VARIANT 2;VARIANT 3;VARIANT 4;DESCRIPTION;SEAT_CODE;SIDE;CODE;LINE_NO;SUFFIX_MASTER;PART_NO;JOB_NO;AIRBAG;STOCK_MIN;STOCK_MAX;takt_time_small;takt_time_big;shop
1;Active;D74A;RHD LOW;S/belt Passanger;Frame STD;No Pocket;INTEGRATED;SEAT ASSY, FR;FR;LH;-;2;T9;71200-BYC00;;NO;1;3;60;60;2
2;Active;D74A;RHD MID-A;S/belt Passanger;Frame STD;No Pocket;INTEGRATED;SEAT ASSY, FR;FR;LH;-;2;7F, 7G, T6, T8;71200-BYC10;;NO;1;3;60;60;2
3;Active;D74A;RHD MID B STD;S/belt Passanger;Frame STD;Pocket;Separated;SEAT ASSY, FR;FR;LH;-;2;7A, 7C, 7E;71200-BYC30;;NO;1;3;60;60;2
4;Active;D74A;RHD GR;S/belt Passanger;Frame STD;Pocket;Separated;SEAT ASSY, FR;FR;LH;-;2;7B, 7D;71200-BYJ70;;NO;1;3;60;60;2
5;Active;D74A;RHD MID B LFT;S/belt Passanger;Frame STD;Pocket;Separated;SEAT ASSY, FR;FR;LH;-;2;68, 69, T5, ZJ, ZK;71200-BYC30;;NO;1;3;60;60;2
6;Active;D74A;LHD MID-A;S/belt DRIVER STD;Frame STD;No Pocket;INTEGRATED;SEAT ASSY, FR;FR;LH;-;2;WA, WB, WC, XK, ZC, ZE, ZF, ZG, ZH, 9F;71200-BYC50;;NO;1;3;60;60;2
7;Active;D74A;LHD  MID B LIFT;S/belt Lifter Panjang;Lifter Adjuster;Pocket;Separated;SEAT ASSY, FR;FR;LH;-;2;62, 65, 66, 5H, 5J, U2, VV, VX, VY, VZ, YD, YN, ZA, ZB, 9G;71200-BYC70;;NO;1;3;60;60;2
8;Active;D74A;LHD  MID B STD;S/belt DRIVER STD;Frame STD;Pocket;Separated;SEAT ASSY, FR;FR;LH;-;2;64, 67;71200-BYG70;;NO;1;3;60;60;2
9;Active;D74A;LHD  MID B LIFT A/B;S/belt Lifter Panjang;Lifter Adjuster;Pocket;Separated;SEAT ASSY, FR;FR;LH;-;2;VW;71200-BYG60;;NO;1;3;60;60;2
10;Active;D74A;RHD TMC LOW;S/belt Passanger;Frame STD;No Pocket;Separated;SEAT ASSY, FR;FR;LH;F-UK;2;RU, RV;71200-BY460;;NO;1;3;60;60;2
