id;user_area;day;shift;start;finish;durasi
1;Assembly;Monday;Day;11:50:00;12:33:00;43
2;Assembly;Monday;Night;00:00:00;00:08:00;8
3;Assembly;Tuesday;Day;09:55:00;10:03:00;8
4;Assembly;Tuesday;Day;11:50:00;12:33:00;43
5;Assembly;Tuesday;Night;00:00:00;00:08:00;8
6;Assembly;Wednesday;Night;00:00:00;00:08:00;8
7;Assembly;Wednesday;Day;11:50:00;12:33:00;43
8;Assembly;Thursday;Night;00:00:00;00:08:00;8
9;Assembly;Thursday;Day;11:50:00;12:33:00;43
10;Assembly;Friday;Day;11:45:00;12:43:00;58
11;Assembly;Friday;Night;00:00:00;00:08:00;8
12;Assembly;Monday;Day;14:05:00;14:13:00;8
13;Assembly;Saturday;Day;11:50:00;12:33:00;43
14;Assembly;Sunday;Day;11:50:00;12:33:00;43
15;Assembly;Sunday;Night;00:00:00;00:08:00;8
16;Assembly;Wednesday;Day;09:55:00;10:03:00;8
17;Assembly;Friday;Day;17:45:00;18:28:00;43
18;Assembly;Monday;Night;02:00:00;02:08:00;8
19;Assembly;Wednesday;Night;02:00:00;02:08:00;8
20;Assembly;Thursday;Day;09:55:00;10:03:00;8
21;Assembly;Thursday;Day;14:05:00;14:13:00;8
22;Assembly;Sunday;Day;09:55:00;10:03:00;8
23;Assembly;Tuesday;Night;02:00:00;02:08:00;8
24;Assembly;Thursday;Night;02:00:00;02:08:00;8
25;Assembly;Friday;Day;09:55:00;10:03:00;8
26;Assembly;Friday;Day;14:30:00;14:38:00;8
27;Assembly;Friday;Night;02:00:00;02:08:00;8
28;Assembly;Saturday;Day;09:55:00;10:03:00;8
29;Assembly;Saturday;Day;14:05:00;14:13:00;8
30;Assembly;Saturday;Night;00:00:00;00:08:00;8
31;Assembly;Saturday;Night;02:00:00;02:08:00;8
32;Assembly;Sunday;Day;14:05:00;14:13:00;8
33;Assembly;Sunday;Night;02:00:00;02:08:00;8
34;Assembly;Monday;Day;17:45:00;18:28:00;43
35;Assembly;Tuesday;Day;17:45:00;18:28:00;43
36;Assembly;Wednesday;Day;17:45:00;18:28:00;43
37;Assembly;Thursday;Day;17:45:00;18:28:00;43
38;Assembly;Saturday;Day;17:45:00;18:28:00;43
39;Assembly;Monday;Day;09:55:00;10:03:00;8
40;Assembly;Monday;Day;16:05:00;16:13:00;8
41;Assembly;Monday;Night;04:00:00;04:58:00;58
42;Assembly;Tuesday;Day;14:05:00;14:13:00;8
43;Assembly;Tuesday;Day;16:05:00;16:13:00;8
44;Assembly;Wednesday;Day;14:05:00;14:13:00;8
45;Assembly;Tuesday;Night;04:00:00;04:58:00;58
46;Assembly;Wednesday;Day;16:15:00;16:28:00;13
47;Assembly;Wednesday;Night;04:00:00;04:58:00;58
48;Assembly;Thursday;Night;04:00:00;04:58:00;58
49;Assembly;Friday;Night;04:00:00;04:58:00;58
50;Assembly;Saturday;Night;04:00:00;04:58:00;58
51;Assembly;Sunday;Night;04:00:00;04:58:00;58
52;Assembly;Thursday;Day;16:05:00;16:13:00;8
53;Assembly;Saturday;Day;16:05:00;16:13:00;8
54;Assembly;Sunday;Day;16:05:00;16:13:00;8
55;Assembly;Sunday;Day;17:45:00;18:28:00;43
56;Assembly;Friday;Day;16:30:00;16:43:00;13
